# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Jun  6 17:18:26 2015
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN st_age:         Stellar Age [Gyr]
#
rowid,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,pl_orbincl,st_dist,st_teff,st_mass,st_rad,hd_name,pl_name,pl_masse,pl_rade,st_age
492,4.08450000,0.050000,0.038000,,,37.84,5675.00,0.9900,,HD 47186,HD 47186 b,,,
493,1353.60000000,2.395000,0.249000,,,37.84,5675.00,0.9900,,HD 47186,HD 47186 c,,,
494,360.20000000,1.190000,0.130000,,,56.50,4959.00,1.7400,5.40,HD 4732,HD 4732 b,,,
495,2732.00000000,4.600000,0.230000,,,56.50,4959.00,1.7400,5.40,HD 4732,HD 4732 c,,,
496,712.13000000,1.930000,0.200000,,,121.36,4424.00,0.9100,22.39,HD 47536,HD 47536 b,,,10.150
497,762.00000000,1.600000,0.240000,,,87.41,5789.00,1.2200,1.82,HD 48265,HD 48265 b,,,4.560
498,4.94737000,0.058000,0.087000,,,40.73,,,,HD 49674,HD 49674 b,,,
499,2482.70000000,3.860000,0.230000,,,47.26,,1.2400,,HD 50499,HD 50499 b,,,6.000
500,1293.00000000,2.353000,0.501000,,,31.03,5987.00,1.0400,1.02,HD 50554,HD 50554 b,,,2.160
501,119.60000000,0.500000,0.350000,,,28.07,6060.00,1.1800,1.10,HD 52265,HD 52265 b,,,3.500
502,641.00000000,1.669700,0.020000,,,114.00,4958.00,1.5100,3.85,HD 5319,HD 5319 b,,,3.100
503,886.00000000,2.071000,0.150000,,,114.00,4958.00,1.5100,3.85,HD 5319,HD 5319 c,,,3.100
504,792.60000000,1.900000,0.190000,,,58.17,4854.00,1.5500,5.50,HD 5608,HD 5608 b,444.94300,,
505,492.30000000,1.200000,0.096000,,,53.60,5902.00,0.9610,1.01,HD 564,HD 564 b,,,5.500
506,177.11000000,0.760000,0.066000,,,150.60,,,,HD 5891,HD 5891 b,,,
507,201.30000000,0.759000,0.280000,,,25.70,6095.00,1.4400,,HD 60532,HD 60532 b,,,2.700
508,604.00000000,1.580000,0.020000,,,25.70,6095.00,1.4400,,HD 60532,HD 60532 c,,,2.700
509,589.64000000,1.640000,0.020000,,,10.34,4946.00,2.1000,8.31,HD 62509,HD 62509 b,,,0.980
510,2.81804900,0.036800,0.000000,,,35.80,4840.00,0.8400,1.05,HD 63454,HD 63454 b,,12.310,
511,358.00000000,0.940000,0.240000,,,32.62,,,,HD 63765,HD 63765 b,,,
512,21.99800000,0.140000,0.170000,,,40.32,5835.00,0.7900,,HD 6434,HD 6434 b,,,3.800
513,572.40000000,1.300000,0.000000,,,35.59,5666.00,0.9200,,HD 65216,HD 65216 b,,,
514,152.60000000,0.540000,0.020000,,,35.59,5666.00,0.9200,,HD 65216,HD 65216 c,,,
515,480.50000000,1.200000,0.070000,,,80.06,4323.00,1.1000,21.40,HD 66141,HD 66141 b,,,6.840
516,1973.00000000,3.180000,0.465000,,,55.04,5752.00,1.1000,,HD 66428,HD 66428 b,,,
517,352.20000000,1.080000,0.170000,,,88.81,6330.00,1.3600,1.55,HD 67087,HD 67087 b,,,1.450
518,2374.00000000,3.860000,0.760000,,,88.81,6330.00,1.3600,1.55,HD 67087,HD 67087 c,,,1.450
519,2496.00000000,3.560000,0.100000,,,54.90,5746.00,0.9600,1.02,HD 6718,HD 6718 b,,,
520,6.27711000,0.070400,0.124900,,,58.82,5960.00,1.1800,,HD 68988,HD 68988 b,,,
521,8.66700000,0.078500,0.100000,,,12.58,5385.00,0.8600,,HD 69830,HD 69830 b,,,7.000
522,31.56000000,0.186000,0.130000,,,12.58,5385.00,0.8600,,HD 69830,HD 69830 c,,,7.000
523,197.00000000,0.630000,0.070000,,,12.58,5385.00,0.8600,,HD 69830,HD 69830 d,,,7.000
524,851.80000000,1.760000,0.400000,,,45.70,5737.00,1.0000,,HD 70573,HD 70573 b,,,0.102
525,2068.00000000,3.230000,0.034000,,,28.76,5706.00,1.0500,,HD 70642,HD 70642 b,,,
526,615.00000000,1.360000,0.190000,,,35.88,,,,HD 7199,HD 7199 b,,,
527,3383.00000000,4.511000,0.271000,,,51.36,,,,HD 72659,HD 72659 b,,,
528,2.54858000,0.037000,0.029000,,,36.52,5570.00,1.0500,0.89,HD 73256,HD 73256 b,,,0.830
529,1260.00000000,2.198000,0.256000,,,54.91,5317.00,0.8900,1.04,HD 73267,HD 73267 b,,,7.400
530,188.90000000,0.650000,0.290000,,,94.61,,,,HD 73526,HD 73526 b,,,
531,379.10000000,1.030000,0.280000,,,94.61,,,,HD 73526,HD 73526 c,,,
532,1770.00000000,3.067000,0.074000,,,81.00,5041.00,1.2280,2.39,HD 73534,HD 73534 b,,,
533,51.64500000,0.292000,0.627000,,,64.56,,,,HD 74156,HD 74156 b,,,
534,2473.00000000,3.850000,0.432000,,,64.56,,,,HD 74156,HD 74156 c,,,
535,1275.00000000,2.300000,0.820000,,,38.52,,,,HD 7449,HD 7449 b,,,
536,4046.00000000,4.960000,0.530000,,,38.52,,,,HD 7449,HD 7449 c,,,
537,3.50926700,0.048200,0.034000,,,28.94,6095.00,1.2100,,HD 75289,HD 75289 b,,,
538,341.70000000,1.073000,0.130000,,,68.70,4917.00,1.4100,3.30,HD 75784,HD 75784 b,,,4.000
539,418.20000000,1.190000,0.100000,,,80.58,6021.00,1.2800,1.60,HD 75898,HD 75898 b,,,3.800
540,3.97100000,0.049000,0.000000,,,59.70,,,,HD 76700,HD 76700 b,,,
541,5.73610000,0.061400,0.090000,,,41.27,5370.00,0.9300,0.88,HD 77338,HD 77338 b,15.90000,,
542,5.39792000,0.056640,0.058000,,,16.82,5075.00,0.8320,0.78,HD 7924,HD 7924 b,,,
543,15.29900000,0.113400,0.098000,,,16.82,5075.00,0.8320,0.78,HD 7924,HD 7924 c,,,
544,24.45100000,0.155100,0.210000,,,16.82,5075.00,0.8320,0.78,HD 7924,HD 7924 d,,,
545,1966.10000000,3.130000,0.590000,,,48.64,,,,HD 79498,HD 79498 b,,,
546,111.43570000,0.449000,0.933200,,89.320,29.04,5645.00,0.9700,0.98,HD 80606,HD 80606 b,1252.20000,10.980,
547,1001.70000000,1.940000,0.526000,,,32.56,5700.00,0.9600,0.86,HD 81040,HD 81040 b,,,0.730
548,184.02000000,0.810000,0.000000,,,88.26,,,,HD 81688,HD 81688 b,,,
549,705.00000000,1.650000,0.066000,,,112.23,,,,HD 82886,HD 82886 b,,,
550,441.47000000,1.183060,0.162000,,90.000,27.46,6016.00,1.2000,,HD 82943,HD 82943 b,534.25000,,
551,220.07800000,0.743450,0.366300,,90.000,27.46,6016.00,1.2000,,HD 82943,HD 82943 c,622.60300,,
552,2.98569800,0.040600,0.012000,,,43.53,5454.00,0.9000,,HD 83443,HD 83443 b,,,3.200
553,1313.00000000,2.450000,0.150000,,,52.50,6136.00,1.1300,1.19,HD 8535,HD 8535 b,,,
554,788.00000000,1.520000,0.410000,,,33.96,,,,HD 85390,HD 85390 b,,,
555,58.43000000,0.260000,0.110000,,90.000,11.15,,,,HD 85512,HD 85512 b,,,
556,227.00000000,0.757000,0.297000,,,44.15,,,,HD 8574,HD 8574 b,,,
557,2.13750000,0.035000,0.008000,,,91.16,,1.2100,1.22,HD 86081,HD 86081 b,,,
558,1695.00000000,2.840000,0.150000,,,42.48,5903.00,1.0600,1.02,HD 86226,HD 86226 b,,,1.500
559,1475.00000000,2.860000,0.700000,,,72.57,,,,HD 86264,HD 86264 b,,,
560,1634.00000000,3.020000,0.723000,,,38.26,,,,HD 8673,HD 8673 b,,,
561,2754.00000000,3.600000,0.530000,,,18.06,,,,HD 87883,HD 87883 b,,,
562,3.41587000,0.047200,0.133000,,,74.46,5494.00,1.2000,1.93,HD 88133,HD 88133 b,,,
563,2157.00000000,3.270000,0.241000,,,30.88,,,,HD 89307,HD 89307 b,,,
564,256.78000000,0.918000,0.673000,,,38.99,,,,HD 89744,HD 89744 b,,,
565,49.77000000,0.250000,0.310000,,,22.09,,,,HD 90156,HD 90156 b,,,
566,325.00000000,0.960000,0.350000,,,32.32,5821.00,1.1000,,HD 92788,HD 92788 b,,,2.100
567,143.58000000,0.477000,0.140000,,,28.90,,,,HD 93083,HD 93083 b,,,
568,30.05200000,0.189000,0.200000,,,52.85,,,,HD 9446,HD 9446 b,,,
569,192.90000000,0.654000,0.060000,,,52.85,,,,HD 9446,HD 9446 c,,,
570,,55.700000,,,,91.57,,1.6000,,HD 95086,HD 95086 b,1589.00000,,0.017
571,507.00000000,1.510000,0.157000,,,149.03,,,,HD 95089,HD 95089 b,,,
572,482.00000000,1.280000,0.110000,,,332.00,4218.00,1.2000,20.00,HD 95127,HD 95127 b,,,5.500
573,361.10000000,0.990000,0.030000,,,132.80,,,,HD 96063,HD 96063 b,,,
574,647.30000000,1.400000,0.300000,,,221.24,4152.00,0.9100,35.00,HD 96127,HD 96127 b,,,
575,498.90000000,1.300000,0.710000,,,84.03,5770.00,1.3100,1.86,HD 96167,HD 96167 b,,,3.800
576,9.49030000,0.080000,0.078000,3.90000,89.140,21.30,5170.00,0.7700,0.74,HD 97658,HD 97658 b,7.55000,2.247,6.000
577,436.90000000,1.230000,0.112000,,,150.38,,,,HD 98219,HD 98219 b,,,
578,4951.00000000,5.600000,0.850000,,,42.77,5759.00,1.0000,1.00,HD 98649,HD 98649 b,,,2.300
579,439.30000000,1.105000,0.090000,,,60.46,5272.00,0.9300,,HD 99109,HD 99109 b,,,
580,17.05400000,0.121860,0.130000,,,17.99,,,,HD 99492,HD 99492 b,,,
581,4970.00000000,5.400000,0.100000,,,17.99,,,,HD 99492,HD 99492 c,,,
582,868.00000000,2.140000,0.365000,,,130.89,,,,HD 99706,HD 99706 b,,,
583,184.20000000,0.810000,0.020000,,,84.60,4780.00,2.1000,,HD 203949,HIP 105854 b,,,
584,144.30000000,0.720000,0.090000,,,,4945.00,2.4200,11.60,HD 207229,HIP 107773 b,,,
585,9.12050000,0.090600,0.205000,4.17000,88.430,55.20,5089.00,0.7750,0.72,,HIP 116454 b,11.82000,2.530,2.000
586,57.43500000,0.250000,0.166000,,,23.80,,,,,HIP 12961 b,,,
587,6.67385500,0.069200,0.142700,,,52.88,5485.00,0.9900,1.00,,HIP 14810 b,,,
588,147.73000000,0.545000,0.164000,,,52.88,5485.00,0.9900,1.00,,HIP 14810 c,,,
589,952.00000000,1.890000,0.173000,,,52.88,5485.00,0.9900,1.00,,HIP 14810 d,,,
590,345.72000000,0.890000,0.520000,,,44.80,,,,,HIP 5158 b,,,
591,9017.80000000,7.700000,0.140000,,,44.80,,,,,HIP 5158 c,4779.96000,,
592,41.39700000,0.163506,0.314000,,,11.03,,,,,HIP 57050 b,,,
593,8.13520000,0.070000,0.187000,,,25.87,,,,,HIP 57274 b,,,
594,32.03000000,0.178000,0.050000,,,25.87,,,,,HIP 57274 c,,,
595,431.70000000,1.010000,0.270000,,,25.87,,,,,HIP 57274 d,,,
596,124.60000000,0.565000,0.230000,,,149.25,4830.00,1.5400,,HD 112410,HIP 63242 b,,,
597,,1168.000000,,,,11.43,,,,,HIP 63510 c,1997.59000,13.675,
598,1084.50000000,2.810000,0.130000,,,,5000.00,2.5000,8.93,HD 117253,HIP 65891 b,,,
599,88.90000000,0.460000,0.050000,,,,4890.00,1.6300,5.92,HD 121056,HIP 67851 b,,,
600,2131.80000000,3.820000,0.170000,,,,4890.00,1.6300,5.92,HD 121056,HIP 67851 c,,,
601,17337.50000000,20.250000,0.715000,,,23.98,,,,,HIP 70849 b,,,
602,511.09800000,1.275000,0.712400,,,31.33,4530.00,1.0500,,HD 137759,HIP 75458 b,,,
603,,740.000000,,,,156.70,10500.00,2.5000,,HD 143567,HIP 78530 b,7300.00000,,0.005
604,111.70000000,0.360000,0.290000,,,14.90,,,,,HIP 79431 b,,,
605,5.05050000,0.057000,0.024000,,,44.46,5519.00,0.9500,1.00,,HIP 91258 b,,,2.400
606,1058.80000000,2.550000,0.610000,,,106.50,5020.00,1.9300,5.34,HD 186641,HIP 97233 b,,,
607,,773.000000,,,,18.39,,,,HD 206860,HN Peg b,6991.57000,11.777,
608,,,,,,17.24,,,,HD 17051,HR 810 b,,,
609,170000.00000000,68.000000,,,,39.94,,,,HD 218396,HR 8799 b,2000.00000,13.000,
610,69000.00000000,38.000000,,,,39.94,,,,HD 218396,HR 8799 c,3000.00000,13.000,
611,37000.00000000,24.000000,,,,39.94,,,,HD 218396,HR 8799 d,3000.00000,13.000,
612,18000.00000000,14.500000,,,,39.94,,,,HD 218396,HR 8799 e,,,
613,10.05403000,0.076900,,,89.280,45.00,3896.00,0.6010,0.56,,K2-3 b,,2.140,1.000
614,24.64540000,0.139900,,,89.550,45.00,3896.00,0.6010,0.56,,K2-3 c,,1.720,1.000
615,44.56310000,0.207600,,,89.680,45.00,3896.00,0.6010,0.56,,K2-3 d,,1.520,1.000
616,1.21751400,0.024660,0.009900,24.70000,87.800,262.00,6518.00,1.3240,1.46,,KELT-1 b,8654.15000,12.442,
617,4.11379120,0.054960,0.000000,,88.600,124.22,6151.00,1.3080,1.83,HD 42176,KELT-2 A b,483.71700,14.415,
618,2.70339040,0.041220,0.000000,0.75000,84.230,178.00,6306.00,1.2780,1.47,,KELT-3 b,469.41500,15.076,3.000
619,7.84570000,0.079390,0.220000,0.31100,88.810,222.00,6102.00,1.0850,1.58,,KELT-6 b,136.66100,13.372,6.100
620,2.73477490,0.044150,0.000000,0.44200,83.760,129.00,6789.00,1.5350,1.73,HD 33643,KELT-7 b,406.82240,17.183,1.300
621,0.21970000,,,,,,27500.00,,,,KIC 10001893 b,,,
622,0.32528000,,,,,,27500.00,,,,KIC 10001893 c,,,
623,0.81161000,,,,,,27500.00,,,,KIC 10001893 d,,,
624,17.85523330,0.151000,0.720000,,88.950,426.00,6820.00,1.4520,1.63,,KOI-12 b,3178.30000,16.029,1.500
625,1.76358770,0.037000,,,,,8848.00,,2.68,,KOI-13 b,,22.770,
626,10.95416000,,0.055930,0.87000,89.055,339.00,5471.00,0.9560,0.88,,KOI-142 b,8.70000,3.780,2.200
627,22.33950000,0.155250,0.056280,,86.200,339.00,5471.00,0.9560,0.88,,KOI-142 c,198.80000,,2.200
628,3.90512000,0.047700,0.000000,,89.800,800.00,5545.00,0.9500,0.86,,KOI-217 b,,12.442,
629,7.00815100,0.074000,,,89.400,780.00,6080.00,1.2000,1.20,,KOI-351 b,,1.310,
630,8.71937500,0.089000,,,89.680,780.00,6080.00,1.2000,1.20,,KOI-351 c,,1.190,
631,59.73667000,0.320000,,,89.710,780.00,6080.00,1.2000,1.20,,KOI-351 d,,2.870,
632,91.93913000,0.420000,,,89.790,780.00,6080.00,1.2000,1.20,,KOI-351 e,,2.660,
633,124.91440000,0.480000,,,89.770,780.00,6080.00,1.2000,1.20,,KOI-351 f,,2.880,
634,210.60697000,0.710000,,,89.800,780.00,6080.00,1.2000,1.20,,KOI-351 g,,8.100,
635,331.60059000,1.010000,,,89.600,780.00,6080.00,1.2000,1.20,,KOI-351 h,,11.300,
636,0.24010400,0.006000,,,65.000,1180.00,27730.00,0.4960,0.20,,KOI-55 b,0.44000,0.759,
637,0.34288700,0.007600,,,65.000,1180.00,27730.00,0.4960,0.20,,KOI-55 c,0.65500,0.867,
638,130.19400000,0.509000,0.008000,0.04600,,,6018.00,1.0400,0.94,,KOI-620.02,7.60000,9.700,0.300
639,3.74320800,0.051190,0.250000,10.10000,89.300,,6182.00,1.2770,1.52,,KOI-94 b,10.50000,1.710,3.160
640,10.42364800,0.101300,0.430000,0.91000,88.360,,6182.00,1.2770,1.52,,KOI-94 c,15.60000,4.320,3.160
641,22.34298900,0.168400,0.022000,0.36300,89.871,,6182.00,1.2770,1.52,,KOI-94 d,106.00000,11.270,3.160
642,54.32031000,0.304600,0.019000,0.60000,89.760,,6182.00,1.2770,1.52,,KOI-94 e,35.00000,6.560,3.160
643,121.54000000,0.311000,0.230000,,,3.92,3550.00,0.2810,0.29,HD 33793,Kapteyn c,,,
644,0.83749070,0.016850,0.000000,5.80000,84.800,173.00,5708.00,0.9100,1.06,,Kepler-10 b,3.33000,1.470,10.600
645,45.29430100,,0.000000,7.10000,89.590,173.00,5708.00,0.9100,1.06,,Kepler-10 c,17.20000,2.350,10.600
646,6.88705000,,,14.25000,,,5825.00,1.0800,1.49,,Kepler-100 b,7.34000,1.320,6.460
647,12.81590000,,,0.35000,,,5825.00,1.0800,1.49,,Kepler-100 c,0.85000,2.200,6.460
648,35.33310000,,,,,,5825.00,1.0800,1.49,,Kepler-100 d,3.00000,1.610,6.460
649,3.48768120,0.047400,0.086000,1.45000,85.820,,5667.00,1.1700,1.56,,Kepler-101 b,51.10000,5.770,5.900
650,6.02976000,0.068400,0.000000,10.50000,84.600,,5667.00,1.1700,1.56,,Kepler-101 c,3.78000,1.250,5.900
651,5.28696000,,,23.29000,,,4909.00,0.8100,0.76,,Kepler-102 b,0.41000,0.470,1.410
652,7.07142000,,,,,,4909.00,0.8100,0.76,,Kepler-102 c,3.00000,0.580,1.410
653,10.31170000,,,13.27000,,,4909.00,0.8100,0.76,,Kepler-102 d,3.80000,1.180,1.410
654,16.14570000,,,4.68000,,,4909.00,0.8100,0.76,,Kepler-102 e,8.93000,2.220,1.410
655,27.45360000,,,4.92000,,,4909.00,0.8100,0.76,,Kepler-102 f,0.62000,0.880,1.410
656,15.96540000,,,1.38000,,,5845.00,1.0900,1.44,,Kepler-103 b,9.70000,3.370,5.700
657,179.61200000,,,1.47000,,,5845.00,1.0900,1.44,,Kepler-103 c,36.10000,5.140,5.700
658,11.42754800,0.094000,,,,,5711.00,0.8100,1.35,,Kepler-104 b,,3.100,
659,23.66820500,0.153000,,,,,5711.00,0.8100,1.35,,Kepler-104 c,,3.130,
660,51.75539400,0.257000,,,,,5711.00,0.8100,1.35,,Kepler-104 d,,3.580,
661,5.41220000,0.066000,0.470000,,85.940,,5873.00,1.2800,1.16,,Kepler-105 b,,4.810,
662,7.12593900,0.072000,,,,,5873.00,1.2800,1.16,,Kepler-105 c,,1.610,
663,6.16486000,,,1.26000,,,5858.00,1.0000,1.04,,Kepler-106 b,0.15000,0.820,4.830
664,13.57080000,,,3.28000,,,5858.00,1.0000,1.04,,Kepler-106 c,10.44000,2.500,4.830
665,23.98020000,,,,,,5858.00,1.0000,1.04,,Kepler-106 d,8.10000,0.950,4.830
666,43.84450000,,,3.10000,,,5858.00,1.0000,1.04,,Kepler-106 e,11.17000,2.560,4.830
667,3.17999700,0.044000,,,,,5851.00,,1.41,,Kepler-107 b,,1.560,
668,4.90142500,0.059000,,,,,5851.00,,1.41,,Kepler-107 c,,1.810,
669,7.95820300,0.082000,,,,,5851.00,,1.41,,Kepler-107 d,,1.070,
670,14.74904900,0.123000,,,,,5851.00,,1.41,,Kepler-107 e,,3.450,
671,49.18392100,0.292000,,,,,5854.00,0.8700,2.19,,Kepler-108 b,,8.650,
672,190.32349400,0.721000,,,,,5854.00,0.8700,2.19,,Kepler-108 c,,8.180,
673,6.48163000,,,0.30000,,,5952.00,1.0400,1.32,,Kepler-109 b,1.30000,2.370,5.730
674,21.22270000,,,0.65000,,,5952.00,1.0400,1.32,,Kepler-109 c,2.22000,2.520,5.730
675,10.30390000,0.091000,0.045000,1.72000,89.640,613.00,5680.00,0.9500,1.10,,Kepler-11 b,1.90000,1.800,8.000
676,13.02410000,0.107000,0.026000,0.66000,89.590,613.00,5680.00,0.9500,1.10,,Kepler-11 c,2.90000,2.870,8.000
677,22.68450000,0.155000,0.004000,1.28000,89.670,613.00,5680.00,0.9500,1.10,,Kepler-11 d,7.30000,3.120,8.000
678,31.99960000,0.195000,0.012000,0.58000,88.890,613.00,5680.00,0.9500,1.10,,Kepler-11 e,8.00000,4.190,8.000
679,46.68880000,0.250000,0.013000,0.69000,89.470,613.00,5680.00,0.9500,1.10,,Kepler-11 f,2.00000,2.490,8.000
680,118.38070000,0.466000,0.150000,4.00000,89.870,613.00,5680.00,0.9500,1.10,,Kepler-11 g,25.00000,3.330,8.000
681,12.69111200,0.107000,,,,,5960.00,,1.15,,Kepler-110 b,,1.830,
682,31.71977500,0.198000,,,,,5960.00,,1.15,,Kepler-110 c,,2.210,
683,3.34181500,0.046000,,,,,5952.00,,1.16,,Kepler-111 b,,1.580,
684,224.78460800,0.761000,,,,,5952.00,,1.16,,Kepler-111 c,,7.300,
685,8.40887800,0.076000,,,,,5544.00,,0.84,,Kepler-112 b,,2.360,
686,28.57426300,0.172000,,,,,5544.00,,0.84,,Kepler-112 c,,2.400,
687,4.75400000,,,10.73000,,,4725.00,0.7500,0.69,,Kepler-113 b,11.70000,1.820,6.890
688,8.92507000,,,,,,4725.00,0.7500,0.69,,Kepler-113 c,8.70000,2.180,6.890
689,5.18854900,0.053000,,,,,4605.00,0.5600,0.67,,Kepler-114 b,,1.260,
690,8.04100000,,,,,,4605.00,0.5600,0.67,,Kepler-114 c,2.80000,1.600,
691,11.77600000,,,,,,4605.00,0.5600,0.67,,Kepler-114 d,3.90000,2.530,
692,2.40367900,0.036000,,,,,5979.00,1.0000,1.21,,Kepler-115 b,,1.090,
693,8.99088900,0.087000,,,,,5979.00,1.0000,1.21,,Kepler-115 c,,2.600,
694,5.96873400,0.069000,,,,,6142.00,1.1600,1.45,,Kepler-116 b,,3.420,
695,13.07163000,0.116000,,,,,6142.00,1.1600,1.45,,Kepler-116 c,,2.300,
696,18.79592280,0.144500,0.049300,0.30000,88.740,1430.00,6150.00,1.1290,1.61,,Kepler-117 b,29.87500,8.059,5.300
697,50.79039100,0.280400,0.032300,1.74000,89.640,1430.00,6150.00,1.1290,1.61,,Kepler-117 c,584.78000,12.341,5.300
698,7.51849600,0.073000,,,,,5274.00,0.8600,1.09,,Kepler-118 b,,1.960,
699,20.17202000,0.141000,,,,,5274.00,0.8600,1.09,,Kepler-118 c,,7.680,
700,2.42208200,0.035000,,,,,5595.00,,0.84,,Kepler-119 b,,3.600,
701,4.12510300,0.049000,,,,,5595.00,,0.84,,Kepler-119 c,,0.920,
702,4.43796370,0.055600,0.010000,0.11100,88.760,600.00,5947.00,1.1660,1.48,,Kepler-12 b,136.97900,18.999,4.000
703,6.31250100,0.055000,,,,,4096.00,,0.53,,Kepler-120 b,,2.150,
704,12.79458500,0.088000,,,,,4096.00,,0.53,,Kepler-120 c,,1.530,
705,3.17742200,0.039000,,,,,5311.00,,0.70,,Kepler-121 b,,2.340,
706,41.00801100,0.216000,,,,,5311.00,,0.70,,Kepler-121 c,,2.270,
707,5.76619300,0.064000,,,,,6050.00,0.9900,1.22,,Kepler-122 b,,2.340,
708,12.46598800,0.108000,,,,,6050.00,0.9900,1.22,,Kepler-122 c,,5.870,
709,21.58747500,0.155000,,,,,6050.00,0.9900,1.22,,Kepler-122 d,,2.200,
710,37.99327300,0.227000,,,,,6050.00,0.9900,1.22,,Kepler-122 e,,2.600,
711,56.26800000,,,,,,6050.00,0.9900,1.22,,Kepler-122 f,36.00000,1.750,
712,17.23236600,0.135000,,,,,6089.00,1.0300,1.26,,Kepler-123 b,,2.940,
713,26.69507400,0.181000,,,,,6089.00,1.0300,1.26,,Kepler-123 c,,1.480,
714,3.41049300,0.039000,,,,,4984.00,,0.64,,Kepler-124 b,,0.730,
715,13.82137500,0.100000,,,,,4984.00,,0.64,,Kepler-124 c,,1.750,
716,30.95085100,0.170000,,,,,4984.00,,0.64,,Kepler-124 d,,1.110,
717,4.16438900,0.041000,,,,,3810.00,0.5500,0.51,,Kepler-125 b,,2.370,
718,5.77446400,0.051000,,,,,3810.00,0.5500,0.51,,Kepler-125 c,,0.740,
719,10.49571100,0.099000,,,,,6239.00,,1.36,,Kepler-126 b,,1.520,
720,21.86974100,0.162000,,,,,6239.00,,1.36,,Kepler-126 c,,1.580,
721,100.28313400,0.448000,,,,,6239.00,,1.36,,Kepler-126 d,,2.500,
722,14.43588900,0.125000,,,,,6106.00,,1.36,,Kepler-127 b,,1.400,
723,29.39319500,0.200000,,,,,6106.00,,1.36,,Kepler-127 c,,2.660,
724,48.63040800,0.280000,,,,,6106.00,,1.36,,Kepler-127 d,,2.640,
725,15.09000000,,,,,,6090.00,1.1800,1.66,,Kepler-128 b,30.70000,1.130,
726,22.80400000,,,,,,6090.00,1.1800,1.66,,Kepler-128 c,33.30000,1.130,
727,15.79186000,0.131000,,,,,5770.00,1.1800,1.64,,Kepler-129 b,,2.370,
728,82.20017000,0.393000,,,,,5770.00,1.1800,1.64,,Kepler-129 c,,2.550,
729,8.45745800,0.079000,,,,,5884.00,1.0000,1.13,,Kepler-130 b,,1.020,
730,27.50868000,0.178000,0.000000,,89.340,,5884.00,1.0000,1.13,,Kepler-130 c,,2.900,
731,87.51790500,0.377000,,,,,5884.00,1.0000,1.13,,Kepler-130 d,,1.640,
732,16.09200000,,,6.00000,,,5685.00,1.0200,1.03,,Kepler-131 b,16.13000,2.410,3.660
733,25.51690000,,,77.70000,,,5685.00,1.0200,1.03,,Kepler-131 c,8.25000,0.840,3.660
734,6.17819600,0.067000,,,,,6003.00,,1.18,,Kepler-132 b,,1.210,
735,6.41491400,0.068000,,,,,6003.00,,1.18,,Kepler-132 c,,1.280,
736,18.01019900,0.136000,,,,,6003.00,,1.18,,Kepler-132 d,,1.550,
737,8.12997600,0.083000,,,,,5736.00,,1.43,,Kepler-133 b,,1.760,
738,31.51758600,0.204000,,,,,5736.00,,1.43,,Kepler-133 c,,2.840,
739,5.31742900,0.060000,,,,,5983.00,,1.18,,Kepler-134 b,,2.000,
740,10.10578500,0.092000,,,,,5983.00,,1.18,,Kepler-134 c,,1.260,
741,6.00253000,0.067000,,,,,6090.00,,1.27,,Kepler-135 b,,1.810,
742,11.44870800,0.103000,,,,,6090.00,,1.27,,Kepler-135 c,,1.160,
743,11.57890000,0.106000,,,,,6165.00,1.2000,1.35,,Kepler-136 b,,2.050,
744,16.39923500,0.133000,,,,,6165.00,1.2000,1.35,,Kepler-136 c,,1.990,
745,8.43638700,0.077000,,,,,5187.00,,0.80,,Kepler-137 b,,1.470,
746,18.73575300,0.130000,,,,,5187.00,,0.80,,Kepler-137 c,,1.880,
747,10.31236400,0.077000,,,,,4079.00,0.5700,0.53,,Kepler-138 b,,0.610,
748,13.78164000,,0.050000,5.00000,,,4079.00,0.5700,0.53,,Kepler-138 c,3.83000,1.610,
749,23.08933000,,0.024000,1.31000,,,4079.00,0.5700,0.53,,Kepler-138 d,1.01000,1.610,
750,15.77104400,0.127000,,,,,5594.00,1.0800,1.30,,Kepler-139 b,,2.940,
751,157.07287800,0.586000,,,,,5594.00,1.0800,1.30,,Kepler-139 c,,3.380,
752,6.79012300,,0.035000,7.10000,90.000,980.00,6395.00,1.5120,2.05,,Kepler-14 b,2669.66000,12.733,2.200
753,3.25427000,0.045000,,,,,6077.00,,1.29,,Kepler-140 b,,1.610,
754,91.35328200,0.414000,,,,,6077.00,,1.29,,Kepler-140 c,,1.800,
755,3.10767500,0.039000,,,,,4910.00,1.0000,0.79,,Kepler-141 b,,0.690,
756,7.01060600,0.067000,,,,,4910.00,1.0000,0.79,,Kepler-141 c,,1.410,
